Training on: cuda
Loaded 100 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_inbox_20.jsonl
Loaded 50 dispatch events from /home/wei/AMR-DFJSP/test_case/static/dispatch_validation_20.jsonl
Loaded 50 validation event(s).
Loaded training checkpoint from /home/wei/AMR-DFJSP/training_logs/curriculum_20260615_175146/checkpoints/phase_01/gnn_latest.pth (optimizers: optimizer_actor)
Starting GNN REINFORCE training with dispatch baseline 'fifo+least_loaded' (stepwise).
Epoch [74/500] | Sampled: 261.03 | Baseline: 266.25 | Improvement: 5.22 | Win Rate: 65.62% | Job Loss: -0.2376 | AMR Loss: -0.0052 | Entropy: 1.6187 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [75/500] | Sampled: 260.06 | Baseline: 269.12 | Improvement: 9.06 | Win Rate: 81.25% | Job Loss: -0.4918 | AMR Loss: -0.1320 | Entropy: 1.5966 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [76/500] | Sampled: 262.09 | Baseline: 264.44 | Improvement: 2.34 | Win Rate: 53.12% | Job Loss: -1.4144 | AMR Loss: 0.1799 | Entropy: 1.5963 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [77/500] | Sampled: 264.53 | Baseline: 267.75 | Improvement: 3.22 | Win Rate: 53.12% | Job Loss: -2.1288 | AMR Loss: 0.1098 | Entropy: 1.5837 | Invalid S/B: 0.00/0.00 | Max Load: 7.2 | Load Gap: 1.2
Epoch [78/500] | Sampled: 259.03 | Baseline: 267.22 | Improvement: 8.19 | Win Rate: 68.75% | Job Loss: 0.2656 | AMR Loss: -0.1797 | Entropy: 1.5775 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [79/500] | Sampled: 259.12 | Baseline: 268.25 | Improvement: 9.12 | Win Rate: 84.38% | Job Loss: 0.9883 | AMR Loss: -0.8602 | Entropy: 1.5541 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [80/500] | Sampled: 261.97 | Baseline: 266.00 | Improvement: 4.03 | Win Rate: 59.38% | Job Loss: -0.8344 | AMR Loss: -0.3570 | Entropy: 1.5317 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [81/500] | Sampled: 260.28 | Baseline: 263.97 | Improvement: 3.69 | Win Rate: 65.62% | Job Loss: 0.2760 | AMR Loss: -0.1995 | Entropy: 1.5589 | Invalid S/B: 0.00/0.00 | Max Load: 7.1 | Load Gap: 1.1
Epoch [82/500] | Sampled: 257.84 | Baseline: 266.44 | Improvement: 8.59 | Win Rate: 75.00% | Job Loss: 0.2268 | AMR Loss: -0.2758 | Entropy: 1.5732 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
Epoch [83/500] | Sampled: 262.03 | Baseline: 269.47 | Improvement: 7.44 | Win Rate: 65.62% | Job Loss: -0.1319 | AMR Loss: -0.2931 | Entropy: 1.6004 | Invalid S/B: 0.00/0.00 | Max Load: 7.0 | Load Gap: 1.0
